id_imagen,id_seqq,descr
1003163366_44323f5815.jpg,0,A man lays on a bench while his dog sits by him
1007129816_e794419615.jpg,0,A man in an orange hat starring at something
101669240_b2d3e7f17b.jpg,0,A man in a hat is displaying pictures next to a skier in a blue hat
1022454332_6af2c1449a.jpg,0,A child and a woman are at waters edge in a big city
102351840_323e3de834.jpg,0,A man drilling a hole in the ice
102455176_5f8ead62d5.jpg,0,A man uses ice picks and crampons to scale ice
1028205764_7e8df9a2ea.jpg,0,A man and a baby are in a yellow kayak on water
103195344_5d2dc613a3.jpg,0,A man in black is sitting next to a modern art structure in front of a glass building
1032122270_ea6f0beedb.jpg,0,A woman crouches near three dogs in a field
1032460886_4a598ed535.jpg,0,a man is standing in front of a skyscraper
1042020065_fb3d3ba5ba.jpg,0,A boy in a green shirt is looking down at many inflatable boats
1042590306_95dea0916c.jpg,0,A man and woman pose for the camera while another man looks on
1056338697_4f7d7ce270.jpg,0,A blond woman in a blue shirt appears to wait for a ride
1067675215_7336a694d6.jpg,0,A man in blue shorts is laying in the street
1075867198_27ca2e7efe.jpg,0,A man in a brown shirt and dark shorts plays on the beach with his two black dogs
1077931201_1e0bb83105.jpg,0,A man in a wetsuit is throwing a baby wearing a wetsuit up into the air
1082379191_ec1e53f996.jpg,0,A lady and a man with no shirt sit on a dock
1084104085_3b06223afe.jpg,0,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness
1088767354_2acee738cf.jpg,0,A woman in a red costume to the left of a man and woman standing together
109202756_b97fcdc62c.jpg,0,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain
1093737381_b313cd49ff.jpg,0,A woman in a blue dress stands with a chalk portrait of two children playing by a stream
109823397_e35154645f.jpg,0,A man jumps gin the air while riding an ATV
111537217_082a4ba060.jpg,0,A man climbing a rock wall
1124448967_2221af8dc5.jpg,0,A half naked man is sleeping on his chair outdoors
1132772170_600610c5df.jpg,0,A child leaping from bed to bed behind the back of a man
1141718391_24164bf1b1.jpg,0,"A bridge through high green plants , a man and a woman on it"
1142283988_6b227c5231.jpg,0,A blond woman poses with a person in a pink costume
1144288288_e5c9558b6a.jpg,0,A man in shorts is jogging along a street with a headset
1149179852_acad4d7300.jpg,0,A man without a shirt on is guiding a large brown horse pulling a green and yellow wagon
1160034462_16b38174fe.jpg,0,A elderly man in a straw hat is sitting on a bench
116409198_0fe0c94f3b.jpg,0,A man eats near a tent in the snow
1164765687_7aca07bbe7.jpg,0,A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals
1167669558_87a8a467d6.jpg,0,A man in yellow grimaces
1167908324_8caab45e15.jpg,0,A man is standing by a group of video games in a bar
119534510_d52b3781a3.jpg,0,A man in a brown shirt sitting on a dock and reading
1213336750_2269b51397.jpg,0,A man in a black jacket is taking a photo of a man in a red jacket
1234817607_924893f6e1.jpg,0,a Korean man sells soda
1235685934_be89b231fb.jpg,0,A man in sunglasses on an overpass
1236951314_0308dc4138.jpg,0,A boy in a wetsuit jumps into a pool with a bald man
1247181182_35cabd76f3.jpg,0,a man sits on a rock
124881487_36e668145d.jpg,0,A man on bicycle riding down a rocky hill
1252396628_eb81d3905b.jpg,0,A man in a red biker suit on a red dirt bike going down a muddy road
1263801010_5c74bf1715.jpg,0,A man in a red jacket looking out over snow-covered mountains
127488876_f2d2a89588.jpg,0,"One man in red shirt and black pants with a man in white shirt and tan shorts , golfing"
1277185009_06478dd457.jpg,0,A man standing on a rocky mountain with gray clouds in the background
1280320287_b2a4b9b7bd.jpg,0,A man is pulled behind a boat on a knee board while another doing the same begins to fall
1285874746_486731a954.jpg,0,a african-american woman stands in the crowd
1290894194_8a4ffdc7eb.jpg,0,A woman crouches down next to her terrier dog to smile at a little girl sitting on the sidewalk
1295671216_cde1b9c9d1.jpg,0,"A crowd of people are standing together on a sidewalk , while one man is taking a picture"
1295698260_e10c53c137.jpg,0,"A crowd of people look at something out of frame , one man takes a picture"
1298866571_b4c496b71c.jpg,0,a asian man gives an evil eye to the camera
130211457_be3f6b335d.jpg,0,A girl in a red and black leotard with white writing is standing next to a man in a cap and a girl in a hot pink and black and white checkered outfit
1302657647_46b36c0d66.jpg,0,A man hanging from bars outdoors
1303727066_23d0f6ed43.jpg,0,A dark haired bearded man wearing a turquoise shirt with a yellow peace sign on it
1303727828_d1052ee341.jpg,0,A man in a feather hat looking down
1305564994_00513f9a5b.jpg,0,A man in street racer armor is examining the tire of another racer 's motorbike
132489044_3be606baf7.jpg,0,A man sleeping with a bag on his lap on public transportation
133189853_811de6ab2a.jpg,0,"A man wearing a tuxedo shirt , vest , and bow-tie is kissing another man wearing the same thing on the cheek"
1332208215_fa824f6659.jpg,0,A man in glasses and an Asian woman are seated across from each other in a subway train
1342780478_bacc32344d.jpg,0,A man in a dress shirt and tie is standing in front of a sign selling donuts
1346051107_9cdc14e070.jpg,0,A man is playing a saxophone next to a fire hydrant
1348947380_14f0fc1237.jpg,0,A man and a dog stand on a hill overlooking water
1348957576_c4a78eb974.jpg,0,A blonde woman in a white tank top and sunglasses is talking to a man sitting next to boats on a rock surface
135235570_5698072cd4.jpg,0,A man in a field backed by american flags
1355450069_c0675b0706.jpg,0,A man is climbing up a wall
1355945307_f9e01a9a05.jpg,0,A man drives an old-fashioned red race car
1357724865_4faf4e1418.jpg,0,A half-dressed man walks into a river at the bottom of a small waterfall
136552115_6dc3e7231c.jpg,0,A helmeted man jumping off a rock on a mountain bike
136886677_6026c622eb.jpg,0,A large man sits in the back of a canoe with another man in front on a river
1370773415_967b1ffde1.jpg,0,A man and a woman standing outside a restaurant
1377668044_36398401dd.jpg,0,A dog jumping in the air to retrieve a stick from a man
1378557186_4bd1da6834.jpg,0,"A man , a gun , and a dog"
1379026456_153fd8b51b.jpg,0,A man sits at a table in front of a computer wearing headphones
1383698008_8ac53ed7ec.jpg,0,A man is snowboarding over a structure on a snowy hill
